termdays,bank_account_type,bank_name_clients,employment_status_clients,rankloanamt,rankloannum,isreffered,totalduerank,agerank,avgloanamtrank,repaymentrank,good_bad_flag
30,Savings,'Access Bank',Self-Employed,2,2,0,1,2,3,2,1
30,Savings,'GT Bank',Permanent,1,1,1,1,1,2,3,1
30,Savings,UBA,Permanent,2,2,0,2,2,2,3,1
30,Savings,'Zenith Bank',Permanent,1,1,0,1,1,2,2,1
30,Current,'Stanbic IBTC',Permanent,2,1,0,1,1,2,3,1
30,Savings,'GT Bank',Student,1,1,0,1,1,3,3,1
30,Other,'Diamond Bank',Permanent,2,2,0,2,2,2,3,1
30,Savings,UBA,Permanent,2,1,1,2,2,2,3,1
30,Other,'First Bank',Permanent,2,2,0,2,2,3,3,1
30,Other,'Wema Bank',Permanent,1,2,0,1,1,2,3,1
15,Savings,'Stanbic IBTC',Unemployed,1,1,0,1,1,2,3,1
15,Savings,'Fidelity Bank',Permanent,1,1,1,1,1,2,3,1
30,Other,'GT Bank',Permanent,2,1,0,1,2,2,3,1
15,Other,'Zenith Bank',Permanent,1,1,0,1,2,2,3,1
30,Other,'Heritage Bank',Permanent,3,2,0,2,2,3,3,1
15,Other,'GT Bank',Permanent,1,1,0,1,1,2,3,1
30,Other,'Fidelity Bank',Permanent,3,2,0,2,1,3,3,1
30,Savings,'GT Bank',Unemployed,2,1,1,2,1,2,3,1
30,Savings,'Zenith Bank',Permanent,2,1,0,1,1,2,2,1
60,Other,'GT Bank',Permanent,3,2,0,2,2,2,2,1
60,Other,'Diamond Bank',Permanent,3,3,0,2,1,3,2,1
30,Other,'Skye Bank',Self-Employed,3,2,0,2,2,3,3,1
30,Other,'GT Bank',Self-Employed,3,3,0,2,2,3,3,1
90,Savings,'Diamond Bank',Permanent,4,2,0,3,1,3,3,1
30,Savings,UBA,Permanent,2,1,0,1,3,2,3,1
30,Savings,'Zenith Bank',Permanent,2,1,1,1,2,2,3,1
30,Other,'Skye Bank',Permanent,2,1,0,1,2,2,2,1
15,Savings,'Heritage Bank',Self-Employed,1,1,0,1,2,2,2,1
30,Other,'Access Bank',Permanent,1,1,0,1,1,2,3,1
15,Savings,'Stanbic IBTC',Permanent,2,1,1,1,1,2,3,1
30,Savings,'Stanbic IBTC',Permanent,2,1,0,1,1,2,3,1
60,Other,'GT Bank',Student,2,2,0,2,1,3,3,1
15,Savings,'First Bank',Permanent,1,1,0,1,2,2,3,1
15,Current,'First Bank',Permanent,1,1,0,1,1,2,3,1
30,Other,'GT Bank',Permanent,2,2,0,1,1,2,2,1
30,Savings,'Heritage Bank',Permanent,1,1,0,1,1,2,3,1
30,Savings,'First Bank',Permanent,1,1,1,1,1,2,2,1
30,Savings,'First Bank',Permanent,2,1,0,1,1,2,2,1
30,Other,'Zenith Bank',Permanent,1,2,0,1,2,2,3,1
30,Savings,'GT Bank',Permanent,2,1,1,1,2,2,3,1
30,Savings,'Sterling Bank',Permanent,2,2,0,2,2,3,2,1
15,Savings,EcoBank,Permanent,1,1,0,1,2,1,3,1
15,Other,'GT Bank',Permanent,1,1,0,1,2,1,3,1
30,Savings,'Diamond Bank',Permanent,2,2,0,2,2,3,3,1
60,Other,'Diamond Bank',Permanent,3,2,0,2,2,3,3,1
30,Other,FCMB,Permanent,1,2,0,1,2,2,2,1
30,Other,'GT Bank',Permanent,2,1,0,1,2,2,2,1
15,Other,'GT Bank',Self-Employed,1,1,0,1,1,2,2,1
30,Savings,'Zenith Bank',Permanent,1,1,0,1,2,2,3,1
30,Savings,'Stanbic IBTC',Permanent,2,1,0,1,3,2,3,1
30,Savings,'Access Bank',Permanent,2,1,1,2,1,2,3,1
30,Savings,FCMB,Permanent,1,1,1,1,1,2,3,1
30,Savings,'Diamond Bank',Permanent,3,2,0,2,2,2,3,1
15,Savings,UBA,Permanent,1,1,0,1,2,2,2,1
15,Savings,'First Bank',Self-Employed,1,1,0,1,2,2,3,1
30,Other,'First Bank',Permanent,2,1,0,2,3,2,3,1
30,Savings,'Access Bank',Permanent,2,1,0,1,3,2,3,1
30,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,3,1
90,Other,'GT Bank',Self-Employed,4,2,0,3,1,3,3,1
30,Other,'GT Bank',Permanent,3,1,0,2,2,2,3,1
30,Other,'GT Bank',Permanent,4,2,0,3,1,3,3,1
60,Other,'Fidelity Bank',Self-Employed,3,1,0,2,1,3,3,1
15,Savings,'Access Bank',Unemployed,1,1,0,1,1,2,2,1
60,Other,'Stanbic IBTC',Permanent,2,1,0,2,2,2,2,1
30,Savings,'Sterling Bank',Permanent,1,1,1,1,1,2,2,1
15,Other,'Diamond Bank',Permanent,1,1,0,1,1,2,3,1
30,Savings,'Fidelity Bank',Permanent,1,1,1,1,1,2,3,1
30,Other,'Access Bank',Permanent,2,2,0,2,2,2,3,1
30,Savings,'Zenith Bank',Student,1,1,1,1,2,2,3,1
15,Savings,'GT Bank',Student,1,1,0,1,1,2,3,1
30,Savings,'GT Bank',Unemployed,1,1,0,1,1,2,3,1
30,Savings,'GT Bank',Student,2,1,0,2,1,3,3,1
30,Savings,'Standard Chartered',Permanent,2,1,1,1,2,2,3,1
30,Savings,'GT Bank',Permanent,3,2,0,2,3,3,3,1
30,Savings,'First Bank',Permanent,2,1,1,1,1,2,3,1
30,Savings,'Skye Bank',Permanent,2,1,1,1,2,2,3,1
60,Savings,'Standard Chartered',Permanent,2,1,0,2,2,2,3,1
30,Savings,EcoBank,Self-Employed,3,2,0,2,2,3,3,1
30,Other,'Fidelity Bank',Permanent,2,1,0,1,2,2,3,1
60,Other,'Skye Bank',Permanent,2,1,0,2,2,2,3,1
90,Other,'Diamond Bank',Permanent,4,2,0,3,2,3,3,1
30,Savings,'Stanbic IBTC',Permanent,2,1,0,1,1,2,2,1
30,Other,'Diamond Bank',Permanent,3,2,0,2,1,3,3,1
30,Savings,'Skye Bank',Permanent,1,1,0,1,3,2,3,1
30,Savings,'Keystone Bank',Permanent,2,1,0,1,2,2,3,1
30,Other,UBA,Self-Employed,2,2,0,1,2,2,2,1
15,Savings,'Skye Bank',Permanent,1,1,0,1,1,2,2,1
30,Savings,FCMB,Self-Employed,2,1,0,1,2,2,2,1
15,Savings,UBA,Permanent,1,2,0,1,2,1,3,1
15,Savings,UBA,Permanent,1,1,0,1,2,2,3,1
15,Savings,'Stanbic IBTC',Permanent,1,1,0,1,1,2,3,1
30,Savings,'First Bank',Permanent,1,1,0,1,2,2,2,1
30,Savings,'GT Bank',Permanent,2,1,0,1,3,2,3,1
60,Savings,'Diamond Bank',Permanent,2,1,0,2,1,2,3,1
30,Savings,'Zenith Bank',Permanent,2,1,0,2,2,2,3,1
30,Savings,'GT Bank',Self-Employed,2,1,0,2,1,2,2,1
30,Other,'Union Bank',Permanent,2,1,0,2,1,2,3,1
30,Savings,'Skye Bank',Permanent,1,1,1,1,1,2,3,1
15,Savings,FCMB,Permanent,2,1,0,1,1,2,3,1
15,Other,'Zenith Bank',Self-Employed,2,2,0,1,1,3,3,1
30,Savings,'Stanbic IBTC',Permanent,1,1,0,1,2,2,2,0
15,Other,'GT Bank',Permanent,1,1,0,1,1,2,2,0
30,Savings,UBA,Permanent,2,1,0,1,1,2,3,0
60,Other,'First Bank',Permanent,2,1,0,2,1,2,3,0
30,Savings,'Access Bank',Permanent,1,1,0,1,2,2,2,0
30,Other,'Zenith Bank',Self-Employed,2,2,0,2,2,2,3,0
30,Savings,'Zenith Bank',Permanent,2,1,0,2,1,2,3,0
90,Other,'Diamond Bank',Permanent,4,2,0,3,2,3,3,0
15,Savings,'Zenith Bank',Permanent,1,1,1,1,2,2,3,0
30,Savings,'Skye Bank',Permanent,2,1,0,1,1,2,3,0
30,Other,'GT Bank',Permanent,1,1,0,1,2,2,1,0
